nazwa; oczekiwana wartosc;znaleleziona; dlugosc danych; uzyte slowa; czas w ms
Folder: test/negatywne_losowe
10.500-100.txt;509;522;400;399;2948
10.500-200.txt;509;315;300;240;495
18.200-40.txt;209;180;160;139;158
18.200-80.txt;209;135;120;101;86
20.300-120.txt;309;251;180;151;139
20.300-60.txt;309;263;240;207;252
35.200-40.txt;209;178;160;144;113
35.200-80.txt;209;111;120;88;49
53.500-100.txt;509;479;400;378;1001
53.500-200.txt;509;374;300;285;669
55.300-120.txt;309;172;180;139;138
55.300-60.txt;309;257;240;202;336
55.400-160.txt;409;173;240;140;251
55.400-80.txt;409;364;320;280;619
58.300-120.txt;309;168;180;135;195
58.300-60.txt;309;289;240;226;588
62.400-160.txt;409;269;240;212;442
62.400-80.txt;409;400;320;308;845
68.400-160.txt;409;254;240;201;323
68.400-80.txt;409;407;320;312;839
9.200-40.txt;209;201;160;160;164
9.200-80.txt;209;123;120;97;62
Folder: test/negatywne_wynikajace_powtorzen
113.500-8.txt;509;498;492;473;3320
144.500-12.txt;509;490;488;478;4611
28.500-18.txt;509;490;482;478;3533
34.500-32.txt;509;469;468;454;2836
59.500-2.txt;509;473;498;463;1736
Folder: test/pozytywne_losowe
10.500+200.txt;509;443;700;429;5680
18.200+80.txt;209;183;280;174;495
20.300+120.txt;309;306;420;296;983
25.500+200.txt;509;551;700;499;5958
35.200+80.txt;209;214;280;205;315
53.500+200.txt;509;525;700;503;3668
55.300+120.txt;309;311;420;301;1225
55.400+160.txt;409;404;560;390;3094
58.300+120.txt;309;315;420;305;984
62.400+160.txt;409;419;560;405;3132
68.400+160.txt;409;416;560;402;2894
9.200+80.txt;209;211;280;202;572
Folder: test/pozytywne_przeklamania
10.500+50.txt;509;391;550;377;2534
18.200+20.txt;209;117;220;108;173
20.300+30.txt;309;245;330;236;693
25.500+50.txt;509;333;550;323;1058
35.200+20.txt;209;134;220;125;146
53.500+50.txt;509;335;550;325;1817
55.300+30.txt;309;261;330;252;495
55.400+40.txt;409;122;440;113;478
58.300+30.txt;309;102;330;93;215
62.400+40.txt;409;147;440;138;405
68.400+40.txt;409;247;440;238;565
9.200+20.txt;209;97;220;88;130
