nazwa; oczekiwana wartosc;znaleleziona; dlugosc danych; uzyte slowa; czas w ms
Folder: test/negatywne_losowe
10.500-100.txt;509;533;400;400;2902
10.500-200.txt;509;391;300;296;975
18.200-40.txt;209;180;160;139;161
18.200-80.txt;209;150;120;115;80
20.300-120.txt;309;239;180;177;283
20.300-60.txt;309;319;240;240;532
35.200-40.txt;209;215;160;157;203
35.200-80.txt;209;143;120;108;47
53.500-100.txt;509;543;400;398;1869
53.500-200.txt;509;389;300;294;851
55.300-120.txt;309;229;180;180;271
55.300-60.txt;309;319;240;240;300
55.400-160.txt;409;260;240;205;405
55.400-80.txt;409;418;320;317;767
58.300-120.txt;309;218;180;172;241
58.300-60.txt;309;309;240;239;519
62.400-160.txt;409;293;240;224;404
62.400-80.txt;409;413;320;312;1007
68.400-160.txt;409;298;240;232;453
68.400-80.txt;409;413;320;319;1248
9.200-40.txt;209;207;160;160;188
9.200-80.txt;209;156;120;120;97
Folder: test/negatywne_wynikajace_powtorzen
113.500-8.txt;509;536;492;492;3605
144.500-12.txt;509;504;488;482;4560
28.500-18.txt;509;504;482;482;3862
34.500-32.txt;509;487;468;468;3616
59.500-2.txt;509;550;498;498;3232
Folder: test/pozytywne_losowe
10.500+200.txt;509;973;700;569;9136
18.200+80.txt;209;280;280;212;528
20.300+120.txt;309;339;420;318;2017
25.500+200.txt;509;1017;700;574;8557
35.200+80.txt;209;282;280;214;714
53.500+200.txt;509;891;700;561;8499
55.300+120.txt;309;425;420;330;1998
55.400+160.txt;409;477;560;462;4038
58.300+120.txt;309;437;420;332;1679
62.400+160.txt;409;484;560;472;4796
68.400+160.txt;409;462;560;440;4203
9.200+80.txt;209;283;280;215;653
Folder: test/pozytywne_przeklamania
10.500+50.txt;509;557;550;495;4170
18.200+20.txt;209;181;220;142;179
20.300+30.txt;309;275;330;266;1011
25.500+50.txt;509;581;550;501;4146
35.200+20.txt;209;210;220;189;298
53.500+50.txt;509;601;550;508;3967
55.300+30.txt;309;282;330;273;703
55.400+40.txt;409;182;440;157;571
58.300+30.txt;309;107;330;93;236
62.400+40.txt;409;370;440;354;1496
68.400+40.txt;409;247;440;238;764
9.200+20.txt;209;210;220;191;310
